順位	登録番号	馬名	性別	厩舎	指名者数
120	2024106763	ジュベルシャムス	牝	木村哲也	12
121	2024106136	アドマイヤモカ	牝	-	12
122	2024108263	Anna Lawの2024	牝	-	12
123	2024105873	ボーシュブノワール	牝	藤原英昭	12
124	2024108241	Dram Girlの2024	牡	-	12
125	2024106763	ジュベルシャムス	牝	木村哲也	12
126	2024105911	シアルナーレ	牡	田中博康	12
127	2024106502	マテンロウアルカナ	牡	松永幹夫	12
128	2024106323	サトノカグラ	牡	木村哲也	12
129	2024106923	クロワゼレドワ	牡	友道康夫	12
130	2024108253	Borgia's Bestの2024	牡	-	11
131	2024102234	オネスティ	牡	杉山晴紀	11
132	2024107242	ジャスティンカンヌ	牡	堀宣行	11
133	2024103491	リリークラウド	牝	矢作芳人	11
134	2024106287	プルヴィナル	牝	栗田徹	11
135	2024105283	ロードマイラヴァー	牡	杉山晴紀	11
136	2024106038	ベルオナチュレル	牝	辻野泰之	11
137	2024102505	アストライリス	牝	友道康夫	11
138	2024108254	Canada Waterの2024	牡	-	11
139	2024106227	リリックラヴ	牝	武幸四郎	11
140	2024106330	サルティリア	牝	池添学	11
141	2024106576	ブレイズフォート	牡	高野友和	11
142	2024108258	Aniseedの2024	牡	-	11
143	2024108292	Brinjalの2024	牡	-	11
144	2024101897	アンダーグラウンド	牡	杉山晴紀	11
145	2024105284	エルヴォヤージュ	牝	友道康夫	11
146	2024106899	ブラックカルダモン	牝	杉山晴紀	11
147	2024108278	Angel Numberの2024	牝	-	10
148	2024106005	マヴリスキア	牝	上原佑紀	10
149	2024106271	シャローチャンプ	牡	安田翔伍	10
150	2024106673	レッドヴェリタス	牡	福永祐一	10
151	2024105286	Catch A Glimpseの2024	牡	-	10
152	2024105874	シェーンリヒト	牡	手塚貴久	10
153	2024106587	マーズエクレール	牡	佐藤悠太	10
154	2024106469	アドマイヤキングス	牡	-	10
155	2024106525	エデンヴァレー	牝	武幸四郎	10
